cost_bp,raw_mean_net_pnl_bp,raw_net_sharpe,raw_mean_turnover,threshold,alpha,k,smooth_mean_net_pnl_bp,smooth_net_sharpe,smooth_mean_turnover,avg_abs_position,sharpe_improvement_smooth_minus_raw,turnover_reduction_pct
0,5.756405219071887,0.5507347217579458,1.7207088939940929,0.0,1.0,500,2.021699132848881,0.3899155134637512,0.5800801729409577,0.2334589927413057,-0.1608192082941946,66.28830274745188
1,4.035696325077795,0.3866310001022545,1.7207088939940929,0.0,0.75,500,1.2301989129881203,0.2792919076939945,0.389590688549863,0.1933776579685567,-0.10733909240826,77.35871012757138
2,2.314987431083702,0.2220633791759568,1.7207088939940929,0.0,0.2,500,0.6220114615832051,0.2313514345505024,0.0887086508623673,0.1339095618423721,0.009288055374545579,94.84464506622862
5,-2.847139250898576,-0.2740076612112111,1.7207088939940929,0.0,0.1,500,0.3253332568502791,0.1494082257298842,0.0436843217040596,0.1242362161097616,0.42341588694109533,97.46126019011501
10,-11.450683720869035,-1.1061115061338802,1.7207088939940929,0.003,0.2,50,0.0710037956693259,0.108297369735316,0.0033045840816979,0.0049698427945311,1.2144088758691962,99.80795217057155
