period,baseline_lstm_xonly,naive_ram_lstm,ram_fingan_v1,ram_fingan_v2,ram_fingan_v3,regime_econ_lstm_v4,regime_factor_lstm
covid_shock,0.17192068465749114,-0.1257204008294725,0.004975911860162543,0.5801634774514918,0.24238594183924916,0.25991449297047636,0.796580910041165
post_covid,0.3288401070685625,0.3208768224351928,0.3832131167318344,0.3673427711789445,0.4354903074293846,0.37453498266394486,0.39931088576056667
pre_covid_test,0.6409074523416275,0.7604867636676759,0.4263853393615874,0.8094636006615067,0.6214826733083095,0.7158924786656087,0.9998826502832507
