model,val_rmse,val_mae,val_direction_acc,val_mean_pnl_bp,val_daily_sharpe,val_n_rows,val_n_ticker_days,test_rmse,test_mae,test_direction_acc,test_mean_pnl_bp,test_daily_sharpe,test_n_rows,test_n_ticker_days,source_file,val_avg_pred_std,val_avg_abs_position,test_avg_pred_std,test_avg_abs_position
baseline_lstm_xonly,0.0077980466057023,0.0047797525684886,0.5148364293933915,1.589679946071919,0.4603798279933899,24332,12188,0.0119943413913575,0.0069699687835836,0.5118666338178534,1.5656566347926608,0.302690820204333,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/baselines/lstm_vs_ram_lstm_summary.csv,,,,
ram_lstm_x_market,0.0078188383047607,0.0048065627011275,0.5179187900706888,1.6852635726119738,0.4926179723347868,24332,12188,0.0120515492268589,0.007014284480529,0.5101420711176808,1.2008879935584296,0.2309846931932513,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/baselines/lstm_vs_ram_lstm_summary.csv,,,,
regime_factor_lstm,0.0077977792580452,0.0047818754050218,0.5138500739766563,1.8144386627840632,0.5301102533101678,24332,12188,0.0119861941079888,0.0069694934720602,0.5162191015849552,2.880802611893248,0.5507347217579458,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/regime_baselines/regime_factor_lstm_summary.csv,,,,
ram_fingan_v1,0.0116535853371335,0.0080376226877463,0.5172201216505014,0.8992937771404845,0.4584059950527165,24332,12188,0.0170617072773466,0.0111998753597696,0.5139196846513919,0.8536346609034055,0.2381472385317114,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/ram_fingan_v1/ram_fingan_v1_summary.csv,,,,
ram_fingan_v2_pretrain,0.0079351312786134,0.0049154950222753,0.5189873417721519,1.8733999098187288,0.5882822427535641,24332,12188,0.0120809532931969,0.0070666976907885,0.5117845117845118,2.2648705045588526,0.4540759540395628,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/ram_fingan_v2_pretrain/ram_fingan_v2_summary.csv,,,,
ram_fingan_v3_econ,0.0079021656865084,0.0049357945019825,0.5191517343416078,2.2338443729447595,0.7416796387931128,24332,12188,0.0121352938194503,0.0071510785648838,0.512646793134598,1.798467849237261,0.37384682346328,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/ram_fingan_v3_econ/ram_fingan_v3_summary.csv,0.0003957403241656,0.8025842511918461,0.0003902921744156,0.8468185924283484
regime_econ_lstm_v4,0.0079817035049315,0.0050815786999831,0.5206723656090745,0.581073196282654,0.7747239378246227,24332,12188,0.0121415290848314,0.0071920018221508,0.5120308778845364,0.4514898628641895,0.2909404121978953,24354,12188,/home/kwang/RAM-FinGAN/outputs/results/regime_econ_lstm_v4/regime_econ_lstm_v4_summary.csv,,0.1661406755447387,,0.1712957918643951
