threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0,1.0,500,0,2.021699132848881,2.021699132848881,0.3899155134637512,0.3899155134637512,0.5800801729409577,0.2334589927413057,12188
0.0,0.75,500,1,1.6197896015379833,1.2301989129881203,0.3675147266870761,0.27929190769399453,0.389590688549863,0.19337765796855677,12188
0.0,0.2,500,2,0.7994287633079399,0.6220114615832051,0.2972884789297487,0.23135143455050244,0.08870865086236734,0.13390956184237215,12188
0.0,0.1,500,5,0.543754865370577,0.3253332568502791,0.24968226551985898,0.14940822572988424,0.0436843217040596,0.12423621610976161,12188
0.003,0.2,50,10,0.10404963648630579,0.07100379566932591,0.15847805335492798,0.10829736973531602,0.0033045840816979853,0.004969842794531191,12188
