threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0,1.0,500,0,2.021699132848881,2.021699132848881,0.3899155134637512,0.3899155134637512,0.5800801729409577,0.2334589927413057,12188
0.0001,1.0,500,0,1.9992245625558156,1.9992245625558156,0.3856480234103731,0.3856480234103731,0.5791791293484001,0.22991712349447818,12188
0.0002,1.0,500,0,1.9364429446797193,1.9364429446797193,0.37417053884002105,0.37417053884002105,0.5646448648138964,0.2153765993512505,12188
0.0,0.75,500,0,1.6197896015379833,1.6197896015379833,0.3675147266870761,0.3675147266870761,0.389590688549863,0.19337765796855677,12188
0.0001,0.75,500,0,1.6019182101739868,1.6019182101739868,0.3635110961806318,0.3635110961806318,0.3893932712756617,0.19253453475977822,12188
0.0002,0.75,500,0,1.5524185369868413,1.5524185369868413,0.352787820680789,0.352787820680789,0.3826711223175406,0.18565268335636503,12188
0.0005,1.0,500,0,1.7466716047946567,1.7466716047946567,0.3425711250931196,0.3425711250931196,0.46189774808727324,0.16185643755065757,12188
0.0,0.5,500,0,1.245296820879869,1.245296820879869,0.3333348377402592,0.3333348377402592,0.23829317703490394,0.16318145233800735,12188
0.0001,0.5,500,0,1.2333451139297915,1.2333451139297915,0.3301327306462191,0.3301327306462191,0.23812182216285985,0.16272471427024557,12188
0.0,1.0,200,0,1.1062711320049798,1.1062711320049798,0.32392546918685305,0.32392546918685305,0.27603593016230416,0.1080298568631839,12188
0.0001,1.0,200,0,1.0972756882813535,1.0972756882813535,0.3213175241544142,0.3213175241544142,0.2756753683880338,0.1066126172976119,12188
0.0002,0.5,500,0,1.194630434790248,1.194630434790248,0.32026818208936736,0.32026818208936736,0.23475800128259988,0.15940620581271475,12188
0.0005,0.75,500,0,1.390995348417884,1.390995348417884,0.3184195165586334,0.3184195165586334,0.3233353557794328,0.14946839860557867,12188
0.0002,1.0,200,0,1.0721227821802275,1.0721227821802275,0.3141369492049617,0.3141369492049617,0.2698507944559534,0.10078685942595965,12188
0.0,0.3,500,0,0.9576155523890962,0.9576155523890962,0.3090616758973236,0.3090616758973236,0.1357350471526148,0.14329822967191802,12188
