ticker,date,gross_pnl_bp,net_pnl_bp,turnover,avg_abs_position,threshold,alpha,k,cost_bp
AMZN,2019-10-22,1.011612313433983,0.9422841880067421,0.013865625085448169,0.013865625085448169,0.0,0.1,500,5
AMZN,2019-10-23,0.3162565682352602,0.200740777228248,0.02310315820140245,0.006408734992204347,0.0,0.1,500,5
AMZN,2019-10-24,-1.956654718189883,-2.1120515130911692,0.03107935898025723,0.014951176158148189,0.0,0.1,500,5
AMZN,2019-10-25,18.351268355523985,17.952045167754477,0.0798446375539014,0.02624334995048378,0.0,0.1,500,5
AMZN,2019-10-28,0.5774168040292418,0.12827268122287983,0.08982882456127231,0.0479663760144374,0.0,0.1,500,5
AMZN,2019-10-29,1.8651529371673548,1.577513520373698,0.05752788335873138,0.07597012620252508,0.0,0.1,500,5
AMZN,2019-10-30,-1.71786202169959,-1.8175590563171133,0.019939406923504703,0.05538711369776105,0.0,0.1,500,5
AMZN,2019-10-31,-1.2279337180060994,-1.3717310955037207,0.028759475499524297,0.05401296486543624,0.0,0.1,500,5
AMZN,2019-11-01,-1.0160277878603956,-1.111432970806503,0.019081036589221438,0.059389316680163604,0.0,0.1,500,5
AMZN,2019-11-04,-4.0204753613555635,-4.061498301845083,0.008204588097903885,0.057756373406387736,0.0,0.1,500,5
AMZN,2019-11-05,2.4105112474113723,2.3305279718280563,0.015996655116663316,0.07566887814156201,0.0,0.1,500,5
AMZN,2019-11-06,2.0166034189595687,1.8420540377772094,0.03490987623647183,0.04805655834347848,0.0,0.1,500,5
AMZN,2019-11-07,-0.4101930606543725,-0.5173872541676189,0.021438838702649274,0.026044022974112666,0.0,0.1,500,5
AMZN,2019-11-08,0.41851249506039856,0.34480669917818835,0.014741159176442035,0.01829468139106514,0.0,0.1,500,5
AMZN,2019-11-11,0.4580474984761003,0.4304354777444304,0.005522404146333978,0.009255163650598051,0.0,0.1,500,5
AMZN,2019-11-12,0.29997182255453353,0.2094178076583468,0.018110802979237346,0.007587907729521479,0.0,0.1,500,5
AMZN,2019-11-13,0.2599636520489097,0.18943300904376725,0.01410612860102849,0.003636701429346796,0.0,0.1,500,5
AMZN,2019-11-14,-0.7521750753565692,-0.893454431634392,0.028255871255564544,0.02173875836114009,0.0,0.1,500,5
AMZN,2019-11-15,-4.367064628527656,-4.452347532382696,0.017056580771008037,0.039169750739335485,0.0,0.1,500,5
AMZN,2019-11-18,2.365027160483134,2.2867717312712212,0.01565108584238254,0.05790274766163091,0.0,0.1,500,5
AMZN,2019-11-19,2.8410035030966068,2.606932865447947,0.04681412752973198,0.02428523330584557,0.0,0.1,500,5
AMZN,2019-11-20,0.6232972393789953,0.44239583483027195,0.03618028090974465,0.007600776529519752,0.0,0.1,500,5
AMZN,2019-11-21,0.25005607950575254,0.12529516445770456,0.024952183009609597,0.0061521241670688545,0.0,0.1,500,5
AMZN,2019-11-22,0.07917192539548726,0.003678720969979128,0.015098640885101626,0.003673630145859093,0.0,0.1,500,5
AMZN,2019-11-25,0.12499874578083824,0.09516960526272557,0.005965828103622533,0.0010916890066287638,0.0,0.1,500,5
AMZN,2019-11-26,-1.970469149913583,-2.1855514155347135,0.04301645312422616,0.03386187194090216,0.0,0.1,500,5
AMZN,2019-11-27,-1.3688966373605156,-1.4438769324083318,0.014996059009563273,0.04580656395124093,0.0,0.1,500,5
AMZN,2019-11-29,1.6721398646664432,1.5523133867910395,0.023965295575080765,0.052689007837040655,0.0,0.1,500,5
